date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:17	30341/30341	---M-Z	401	error ('Unauthorized')	text/html	etag:W/%22e93f10fa672e98036659f2e16903521b%22	https://fluid-demo-vivian.squarespace.com/robots.txt		(from )
01:03:17	3149826/3149826	---M-Z	200	added ('OK')	text/html	etag:W/%22ef5e19c42a00af57849db7d9ba64bfd4%22	https://fluid-demo-vivian.squarespace.com/?password=demo	/Users/macmini/Documents/Websites/visual/fluid-demo-vivian.squarespace.com/index1736.html	(from )
01:03:17	6518/6518	---M-Z	200	added ('OK')	text/plain	etag:%22db7c3c19eba33f9a409b02540a44b15a%22	https://assets.squarespace.com/universal/default-favicon.ico	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/default-favicon.ico	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:18	8/8	---M--	200	added ('OK')	text/html	date:Sun,%2031%20May%202026%2017:03:18%20GMT	https://images.squarespace-cdn.com/	/Users/macmini/Documents/Websites/visual/images.squarespace-cdn.com/index.html	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:19	362/362	---MC-	200	added ('OK')	text/css	date:Sun,%2031%20May%202026%2017:03:18%20GMT	https://fonts.googleapis.com/css2?family=Almarai:ital,wght@0,400;0,700	/Users/macmini/Documents/Websites/visual/fonts.googleapis.com/css2eb58.css	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:19	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2031%20May%202026%2017:03:18%20GMT	https://use.typekit.net/	/Users/macmini/Documents/Websites/visual/use.typekit.net/index.html	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:19	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20May%202026%2017:03:19%20GMT	https://fonts.gstatic.com/	/Users/macmini/Documents/Websites/visual/fonts.gstatic.com/index.html	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:19	3149826/3149826	---M-Z	200	added ('OK')	text/html	etag:W/%22ef5e19c42a00af57849db7d9ba64bfd4%22	https://fluid-demo-vivian.squarespace.com/	/Users/macmini/Documents/Websites/visual/fluid-demo-vivian.squarespace.com/index.html	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:21	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:25	3680/3680	---M-Z	200	added ('OK')	text/javascript	etag:%225b327b508480bb40386f44d864366bfa%22	http://assets.squarespace.com/universal/scripts-compressed/visitor-site-error-reporter-fdfb276a20173335-min.en-US.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/scripts-compressed/visitor-site-error-reporter-fdfb276a20173335-min.en-US.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:25	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:27	47461/47461	---M-Z	200	added ('OK')	text/javascript	etag:%22fda04fb58e386ea3d30d3de5baffcc78%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-f765cc45592b8801-min.en-US.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-f765cc45592b8801-min.en-US.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:32	91769/91769	---M-Z	200	added ('OK')	text/javascript	etag:%224c24ae11af62594082a2f8ab611d8b94%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-a48347cd349e6bd9-min.en-US.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-a48347cd349e6bd9-min.en-US.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:33	857799/857799	---M-Z	200	added ('OK')	text/javascript	etag:%22bb8dc37daa92f2bb3e528229d8c80444%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-bdf89e58ccd909c7-min.en-US.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-bdf89e58ccd909c7-min.en-US.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:40	246101/246101	---M-Z	200	added ('OK')	text/javascript	etag:%224b906e26a24f984ae89e7ac63a891225%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-219c33e5378d8300-min.en-US.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-219c33e5378d8300-min.en-US.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:46	106466/106466	---M-Z	200	added ('OK')	text/javascript	etag:%22d936485242767e1d98905b2b514f2dcb%22	http://assets.squarespace.com/universal/scripts-compressed/user-account-core-24ffa039deea0a56-min.en-US.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/scripts-compressed/user-account-core-24ffa039deea0a56-min.en-US.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:47	2301/2301	---M-Z	200	added ('OK')	text/css	etag:%222998097b723700e1485956387bdb84c9%22	http://assets.squarespace.com/universal/styles-compressed/user-account-core-19f1883916dfa9bf-min.en-US.css	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/styles-compressed/user-account-core-19f1883916dfa9bf-min.en-US.css	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:03:51	29175/29175	---M-Z	200	added ('OK')	text/javascript	etag:%2278653526022570fcccc309b8afc71bed%22	http://assets.squarespace.com/universal/scripts-compressed/performance-073f90539aa9e3f8-min.en-US.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/scripts-compressed/performance-073f90539aa9e3f8-min.en-US.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:04:03	711889/711889	---M-Z	200	added ('OK')	text/javascript	etag:%225249417d7c37f010931d39b3eeb6b815%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-58f76066debe8c3d-min.en-US.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/scripts-compressed/common-vendors-58f76066debe8c3d-min.en-US.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:04:15	1113787/1113787	---M-Z	200	added ('OK')	text/javascript	etag:%22e97b1d09e30e82adf514a0c603b2bb95%22	http://assets.squarespace.com/universal/scripts-compressed/common-f8b36d51777cafac-min.en-US.js	/Users/macmini/Documents/Websites/visual/assets.squarespace.com/universal/scripts-compressed/common-f8b36d51777cafac-min.en-US.js	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:04:15	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20May%202026%2017:03:20%20GMT	https://p.typekit.net/	/Users/macmini/Documents/Websites/visual/p.typekit.net/index.html	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
01:04:15	118/118	---M--	200	added ('OK')	text/css	etag:%223e803952a9aa015706d2576f5948a0f0%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/98e2e8f9-67d5-4d6c-a400-ee02c06b1b00_617/website.components.html.styles.css	/Users/macmini/Documents/Websites/visual/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.html/98e2e8f9-67d5-4d6c-a400-ee02c06b1b00_617/website.components.html.styles.css	(from https://fluid-demo-vivian.squarespace.com/?password=demo)
